tweet_id,favorites,retweets,timestamp
855851453814013952,44732,17474,Sat Apr 22 18:31:02 +0000 2017
855818117272018944,26113,5272,Sat Apr 22 16:18:34 +0000 2017
855459453768019968,29261,7998,Fri Apr 21 16:33:22 +0000 2017
855245323840757760,0,5812,Fri Apr 21 02:22:29 +0000 2017
855138241867124737,0,43,Thu Apr 20 19:16:59 +0000 2017
854732716440526848,22385,5923,Wed Apr 19 16:25:34 +0000 2017
854482394044301312,28794,6712,Tue Apr 18 23:50:52 +0000 2017
854365224396361728,18580,4581,Tue Apr 18 16:05:17 +0000 2017
854120357044912130,31465,7313,Mon Apr 17 23:52:16 +0000 2017
854010172552949760,15971,3085,Mon Apr 17 16:34:26 +0000 2017
853760880890318849,28167,5625,Mon Apr 17 00:03:50 +0000 2017
853639147608842240,34258,9864,Sun Apr 16 16:00:07 +0000 2017
853299958564483072,15287,3486,Sat Apr 15 17:32:18 +0000 2017
852936405516943360,0,1966,Fri Apr 14 17:27:40 +0000 2017
852912242202992640,8931,1784,Fri Apr 14 15:51:39 +0000 2017
852672615818899456,14741,2114,Thu Apr 13 23:59:28 +0000 2017
852553447878664193,16125,3421,Thu Apr 13 16:05:56 +0000 2017
852311364735569921,32779,9781,Thu Apr 13 00:03:59 +0000 2017
852226086759018497,19759,6736,Wed Apr 12 18:25:07 +0000 2017
852189679701164033,11334,1562,Wed Apr 12 16:00:27 +0000 2017
851861385021730816,0,19,Tue Apr 11 18:15:55 +0000 2017
851591660324737024,16115,3435,Tue Apr 11 00:24:08 +0000 2017
851464819735769094,24035,6954,Mon Apr 10 16:00:07 +0000 2017
851224888060895234,20511,5655,Mon Apr 10 00:06:42 +0000 2017
850753642995093505,30600,9036,Sat Apr 08 16:54:09 +0000 2017
850380195714523136,12989,2584,Fri Apr 07 16:10:12 +0000 2017
850333567704068097,3429,326,Fri Apr 07 13:04:55 +0000 2017
850145622816686080,16221,3761,Fri Apr 07 00:38:06 +0000 2017
850019790995546112,20306,4833,Thu Apr 06 16:18:05 +0000 2017
849776966551130114,30291,7538,Thu Apr 06 00:13:11 +0000 2017
849668094696017920,0,4911,Wed Apr 05 17:00:34 +0000 2017
849412302885593088,15799,3135,Wed Apr 05 00:04:08 +0000 2017
849336543269576704,11359,1890,Tue Apr 04 19:03:06 +0000 2017
849051919805034497,42161,8412,Tue Apr 04 00:12:06 +0000 2017
848690551926992896,25097,4284,Mon Apr 03 00:16:10 +0000 2017
848324959059550208,24636,4568,Sun Apr 02 00:03:26 +0000 2017
848213670039564288,8147,727,Sat Apr 01 16:41:12 +0000 2017
848212111729840128,16264,3020,Sat Apr 01 16:35:01 +0000 2017
847978865427394560,0,3241,Sat Apr 01 01:08:10 +0000 2017
847971574464610304,0,429,Sat Apr 01 00:39:12 +0000 2017
847962785489326080,23432,5052,Sat Apr 01 00:04:17 +0000 2017
847842811428974592,5422,1325,Fri Mar 31 16:07:33 +0000 2017
847617282490613760,6970,415,Fri Mar 31 01:11:22 +0000 2017
847606175596138505,18720,3407,Fri Mar 31 00:27:14 +0000 2017
847251039262605312,20467,4281,Thu Mar 30 00:56:03 +0000 2017
847157206088847362,19842,5827,Wed Mar 29 18:43:12 +0000 2017
847116187444137987,21422,3164,Wed Mar 29 16:00:12 +0000 2017
846874817362120707,20089,3913,Wed Mar 29 00:01:05 +0000 2017
846514051647705089,44601,11538,Tue Mar 28 00:07:32 +0000 2017
846505985330044928,14098,3051,Mon Mar 27 23:35:28 +0000 2017
846153765933735936,31627,9023,Mon Mar 27 00:15:53 +0000 2017
846139713627017216,31064,9982,Sun Mar 26 23:20:02 +0000 2017
846042936437604353,15996,2855,Sun Mar 26 16:55:29 +0000 2017
845812042753855489,29278,8689,Sun Mar 26 01:38:00 +0000 2017
845677943972139009,25201,4790,Sat Mar 25 16:45:08 +0000 2017
845397057150107648,7645,1802,Fri Mar 24 22:08:59 +0000 2017
845306882940190720,23383,5385,Fri Mar 24 16:10:40 +0000 2017
845098359547420673,0,7641,Fri Mar 24 02:22:04 +0000 2017
844979544864018432,13663,2560,Thu Mar 23 18:29:57 +0000 2017
844973813909606400,15113,3189,Thu Mar 23 18:07:10 +0000 2017
844580511645339650,16507,3128,Wed Mar 22 16:04:20 +0000 2017
844223788422217728,13682,2199,Tue Mar 21 16:26:50 +0000 2017
843981021012017153,15214,2946,Tue Mar 21 00:22:10 +0000 2017
843856843873095681,21537,4628,Mon Mar 20 16:08:44 +0000 2017
843604394117681152,16943,2745,Sun Mar 19 23:25:35 +0000 2017
843235543001513987,21585,6030,Sat Mar 18 22:59:54 +0000 2017
842846295480000512,15326,3642,Fri Mar 17 21:13:10 +0000 2017
842765311967449089,6768,1288,Fri Mar 17 15:51:22 +0000 2017
842535590457499648,18170,3520,Fri Mar 17 00:38:32 +0000 2017
842163532590374912,24576,5812,Thu Mar 16 00:00:07 +0000 2017
842115215311396866,14042,3041,Wed Mar 15 20:48:07 +0000 2017
841833993020538882,0,15203,Wed Mar 15 02:10:39 +0000 2017
841680585030541313,25851,7824,Tue Mar 14 16:01:03 +0000 2017
841439858740625411,12719,3702,Tue Mar 14 00:04:30 +0000 2017
841320156043304961,19895,5516,Mon Mar 13 16:08:50 +0000 2017
841314665196081154,15920,4685,Mon Mar 13 15:47:01 +0000 2017
841077006473256960,23006,5337,Mon Mar 13 00:02:39 +0000 2017
840761248237133825,0,1774,Sun Mar 12 03:07:56 +0000 2017
840728873075638272,0,16235,Sun Mar 12 00:59:17 +0000 2017
840698636975636481,177,2,Sat Mar 11 22:59:09 +0000 2017
840696689258311684,12365,976,Sat Mar 11 22:51:24 +0000 2017
840632337062862849,9057,1774,Sat Mar 11 18:35:42 +0000 2017
840370681858686976,16560,4567,Sat Mar 11 01:15:58 +0000 2017
840268004936019968,19411,5768,Fri Mar 10 18:27:58 +0000 2017
839990271299457024,13511,2290,Fri Mar 10 00:04:21 +0000 2017
839549326359670784,27695,7819,Wed Mar 08 18:52:12 +0000 2017
839290600511926273,0,145,Wed Mar 08 01:44:07 +0000 2017
839239871831150596,27376,6574,Tue Mar 07 22:22:32 +0000 2017
838952994649550848,19817,4034,Tue Mar 07 03:22:35 +0000 2017
838921590096166913,11253,2078,Tue Mar 07 01:17:48 +0000 2017
838916489579200512,0,35,Tue Mar 07 00:57:32 +0000 2017
